#TYPE Selected.System.Management.Automation.PSCustomObject
"ComputerName","phoBehavioralBoxLabjackController_WasRunning","phoBehavioralBoxLabjackController_Terminated","OBS_WasRunning","OBS_Terminated"
"WATSON-BB-01","True","True","False","False"
"WATSON-BB-02","True","True","True","True"
"WATSON-BB-03","True","True","True","True"
"WATSON-BB-04","True","True","True","True"
"WATSON-BB-05","True","True","False","False"
"WATSON-BB-06","True","True","True","True"
"WATSON-BB-07","True","True","True","True"
"WATSON-BB-08","True","True","True","True"
"WATSON-BB-09","True","True","True","True"
"WATSON-BB-12","True","True","True","True"
"WATSON-BB-13","True","True","True","True"
"WATSON-BB-14","True","True","True","True"
"WATSON-BB-15","True","True","True","True"
"WATSON-BB-16","True","True","True","True"
