#TYPE Selected.System.String
"ComputerName","phoBehavioralBoxLabjackController_Running","phoBehavioralBoxLabjackController_ProcessID","OBS_Running","OBS_ProcessID"
,,,,
"WATSON-BB-01","False","-","True","9124"
"WATSON-BB-02","True","8724","True","640"
"WATSON-BB-03","False","-","True","9760"
"WATSON-BB-04","True","5444","True","7656"
"WATSON-BB-05","False","-","True","9644"
"WATSON-BB-06","True","7308","True","9944"
"WATSON-BB-07","False","-","True","9972"
"WATSON-BB-08","False","-","True","5292"
"WATSON-BB-09","True","10776","True","3148"
"WATSON-BB-11","False","-","False","-"
"WATSON-BB-12","True","27448","True","9536"
"WATSON-BB-13","True","28144","True","7004"
"WATSON-BB-14","True","23608","True","12368"
"WATSON-BB-15","True","3276","True","9976"
"WATSON-BB-16","True","12448","True","4800"
